"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"268","Montevideo",67.18,21.14,44.97,54.33,70.89,35.71
"269","Wichita",67.02,24.63,46.58,67.02,68.1,118.39
"270","Lubbock",66.9,24.63,46.52,61.64,68.94,133.25
"271","Chattanooga",66.89,27.77,48.02,67.8,62.68,145.27
"272","Phoenix",66.87,33.32,50.69,62.4,71.42,139.29
"273","SiouxFalls",66.85,25.7,47,69.13,56.18,168.93
"274","SaltLakeCity",66.76,34.91,51.4,64.48,68.75,148.6
"275","Tulsa",66.71,28.61,48.34,67.6,62.03,123.2
"276","Durham",66.44,35.54,51.54,64.75,67.79,146.95
"277","Springfield",66.4,18.79,43.44,73.6,63.28,77.68
"278","Winstonsalem",66.27,24.96,46.34,71.92,69.63,117.44
"279","Nicosia",66.23,17.22,42.59,53.67,78.46,90.59
"280","Doha",66.12,66.84,66.46,57.95,65.81,120.86
"281","Taichung",65.98,13,40.43,84.29,29.75,66.76
"282","Dallas",65.94,42.64,54.7,61.95,67.11,162.37
"283","Albuquerque",65.73,25.5,46.33,68.04,64.58,123.57
"284","Madison",65.6,36.95,51.78,62.5,66.34,144.83
"285","Ljubljana",65.47,20.62,43.84,54.76,57.7,74.7
"286","Zaragoza",65.4,15.21,41.2,54.76,60.66,77.87
"287","Mobile",65.31,24.63,45.69,67.4,64.09,122.2
"288","Louisville",65.14,28.33,47.39,65.76,65.91,127.21
"289","Beirut",65.03,34.98,50.54,47.46,66.58,52.68
"290","AbuDhabi",64.97,64.25,64.62,54.3,65.93,131.24
"291","Thessaloniki",64.94,11.57,39.2,52.32,61.77,48.72
"292","Pensacola",64.88,28.72,47.44,62.12,64.75,128.73
"293","Athens",64.67,13.97,40.22,51.34,64.82,52.86
"294","OklahomaCity",64.29,26.54,46.09,66.52,58.15,142.4
"295","Kitchener",63.9,27.36,46.28,58.85,59.89,124.25
"296","Limassol",63.52,24.22,44.57,52.24,66.53,93.12
"297","Huntsville",63.34,27.45,46.03,64.13,63.83,152.26
"298","Tucson",63,23.8,44.1,61.12,63.64,138.07
"299","Reno",62.88,35.99,49.92,58.04,64.1,136.4
"300","Havana",62.74,12.01,38.27,41.43,28.23,1.88
"301","Boise",62.65,28.91,46.37,58.7,65.39,130.86
"302","Knoxville",62.18,29.77,46.55,60.36,64.67,128.69
"303","Accra",61.93,32.3,47.64,60.07,40.1,14.07
"304","CollegeStation",61.85,32.7,47.79,68.95,57.12,118.7
"305","Martin",61.04,20.8,41.63,56.66,51.89,44.36
"306","SanAntonio",60.92,34.5,48.18,58.17,60.96,154.92
"307","Tallinn",60.51,17.66,39.84,45.31,61.04,74.02
"308","Valencia",60.33,20.61,41.17,50.92,56.84,90.71
"309","Kaohsiung",60.22,10.41,36.2,71.17,26.25,127.49
"310","Sevilla",60.16,21.15,41.35,52.11,58.14,81.43
"311","Larnaca",59.97,11.36,36.53,49.72,66.8,83.19
"312","Sharjah",59.38,29.86,45.15,50.37,43.99,123.32
"313","Split",59.05,13.74,37.2,50.46,55.16,53.22
"314","Manama",59,30.65,45.33,57.63,54.83,67.56
"315","Rijeka",58.54,12.29,36.24,49.63,46.7,51.41
"316","Amman",58.47,14.58,37.3,49.55,55.56,41.83
"317","Zagreb",58,15.39,37.45,49.52,46.65,64.19
"318","Lisbon",57.69,29.33,44.01,47.02,50.14,58.48
"319","Patras",57.35,9.41,34.23,46.44,53.51,64.63
"320","PanamaCity",57.23,32.46,45.29,56.48,52.95,38.24
"321","Malaga",57.23,21.19,39.85,48.93,55.28,94.71
"322","Campinas",57.21,14.1,36.42,43.15,48.2,59.53
"323","RioDeJaneiro",57.14,21.61,40,42.19,48.58,39.15
"324","Funchal",57,17.91,38.15,47.03,44.3,52.72
"325","Santiago",56.85,17.85,38.04,48.15,55.32,50.65
"326","SaoPaulo",56.83,21.02,39.56,43.58,48.59,40.03
"327","Shanghai",56.16,41.95,49.3,61.7,40.74,66.16
"328","BuenosAires",56.05,15.58,36.53,48.19,56.51,60.03
"329","Bangkok",55.79,26.21,41.52,62.4,27.99,44.94
"330","Makati",55.54,26.91,41.73,59.97,28.91,46.37
"331","Tartu",55.49,14.44,35.69,42.41,55.7,75.23
"332","Porto",54.92,20.87,38.5,45.79,44.12,63.31
"333","Riga",54.87,15.23,35.75,42.56,51.15,53.77
"334","Coimbra",54.5,14.58,35.25,46.39,42.38,75.56
"335","Granada",54.47,14.9,35.39,44.63,51.02,94.61
"336","Vilnius",54.26,17.9,36.72,42.58,49.97,56.97
"337","PortoAlegre",53.88,14.79,35.03,42.32,42.19,46.35
"338","Brasilia",53.84,16.73,35.94,44.65,47.74,49.33
"339","Prague",53.84,25.06,39.96,47.04,40.31,77.13
"340","Bratislava",53.64,22.87,38.8,46.54,44.37,72.75
"341","SantaCruzDeTenerife",53.34,18.05,36.32,44.56,53.88,93.75
"342","Pretoria",53.19,15.59,35.06,43.22,47.05,108.14
"343","Phuket",53.17,14.65,34.59,57.38,27.69,55.31
"344","LasPalmas",52.71,20.09,36.98,44.95,51.06,84.11
"345","Kaunas",52.56,12.38,33.19,41.09,45.84,57.97
"346","Recife",52.22,12.23,32.93,41.22,41.58,39.68
"347","Klaipeda",52.09,11.61,32.57,43.52,46.6,58.53
"348","Fortaleza",52,9.81,31.65,43.69,38.32,30.52
"349","Windhoek",51.84,23.11,37.98,47.76,43.74,55.51
"350","Moscow",51.82,34.1,43.27,40.9,56.03,59.58
"351","Braga",51.43,12.28,32.55,42.67,36.9,71.62
"352","Kosice",51.36,16.16,34.38,44.97,33.36,61.62
"353","Muscat",51.2,25.41,38.76,46.81,51.63,103.55
"354","Budapest",51,18.08,35.12,40.71,40.43,55.54
"355","Jeddah",51,14.41,33.35,43.21,34.15,113.18
"356","JohorBahru",50.98,11.96,32.16,63.42,25.08,42.93
"357","Harare",50.74,14.24,33.14,45.45,36.15,26.86
"358","BeloHorizonte",50.41,12.56,32.15,37.82,41.12,35.32
"359","Florianopolis",50.4,15.08,33.37,39.36,42.08,39.69
"360","AddisAbaba",50.3,24.39,37.8,43.58,22.5,13.57
"361","Brno",50.29,19.26,35.32,44.77,34.98,73.86
"362","SanSalvador",50.29,12.78,32.2,51.28,37.29,28.62
"363","AlKhobar",50.18,15.67,33.53,44.86,33.74,124.32
"364","Johannesburg",50.02,22.45,36.72,41.72,49.92,125.99
"365","PetalingJaya",49.8,12.34,31.73,58.94,23.68,68.75
"366","DarEsSalaam",49.66,24.56,37.55,34.82,33.56,18.87
"367","Shenzhen",49.65,25.37,37.94,53.67,31.34,83.96
"368","Penang",49.5,10.67,30.78,56.99,26.28,68.42
"369","Guayaquil",49.49,13.57,32.17,44.21,36.59,36.14
"370","Curitiba",49.43,12.63,31.68,37,41.47,46.26
"371","PhnomPenh",49.24,17.42,33.89,53.68,24.62,26.41
"372","SantoDomingo",49.1,12.49,31.44,42.25,46.38,28.77
"373","Irbil",49.08,13.91,32.12,41.62,43.07,49.2
"374","Osijek",49.04,8.14,29.32,40.85,36.36,58.44
"375","Gdansk",49.01,17.8,33.96,36.86,40.96,72.77
"376","AdDammam",48.87,12.68,31.41,42.33,32.19,141.35
"377","Quito",48.84,14.05,32.06,47.67,36.41,34.37
"378","Warsaw",48.31,22.5,35.86,38.53,42.2,77.31
"379","Riyadh",48.21,16.46,32.9,41.46,35.41,129.2
"380","ChiangMai",47.92,12.1,30.65,60.54,22.68,31.68
"381","Gdynia",47.86,14.6,31.82,38.15,43.91,72.98
"382","KotaKinabalu",47.75,10.48,29.78,56.27,23.67,37.17
"383","CapeTown",47.55,28.98,38.59,40.96,45.21,94.27
"384","Pattaya",47.24,18.59,33.42,50.38,29.61,29.96
"385","PortElizabeth",47.09,13.95,31.11,40.21,41.53,64.08
"386","GuatemalaCity",46.97,15.52,31.8,43.64,37.17,41.41
"387","Kuching",46.79,6.86,27.53,52.35,20.02,41.76
"388","Jakarta",46.47,19.34,33.39,49.49,26.34,34.8
"389","Durban",46.3,15.74,31.56,39.21,43.53,96.43
"390","KualaLumpur",46.28,17.96,32.62,47.17,27.39,80.73
"391","Wroclaw",46.27,19.64,33.43,38.06,39.12,74.19
"392","Beijing",46.09,33.51,40.02,44.92,35.14,76.61
